geo,time,value,unit
Netherlands,2007,147,kg per capita
Netherlands,2008,142,kg per capita
Netherlands,2009,145,kg per capita
Netherlands,2010,139,kg per capita
Netherlands,2011,141,kg per capita
Netherlands,2012,140,kg per capita
Netherlands,2013,137,kg per capita
Netherlands,2014,143,kg per capita
Netherlands,2015,143,kg per capita
Netherlands,2016,144,kg per capita
Netherlands,2017,144,kg per capita
Netherlands,2018,147,kg per capita
Netherlands,2019,148,kg per capita
Austria,2000,227,kg per capita
Austria,2001,231,kg per capita
Austria,2002,242,kg per capita
Austria,2003,253,kg per capita
Austria,2004,192,kg per capita
Austria,2005,192,kg per capita
Austria,2006,201,kg per capita
Austria,2007,200,kg per capita
Austria,2008,202,kg per capita
Austria,2009,186,kg per capita
Austria,2010,182,kg per capita
Austria,2011,188,kg per capita
Austria,2012,196,kg per capita
Austria,2013,192,kg per capita
Austria,2014,175,kg per capita
Austria,2015,175,kg per capita
Austria,2016,181,kg per capita
Austria,2017,182,kg per capita
Austria,2018,187,kg per capita
Austria,2019,189,kg per capita
Poland,2000,6,kg per capita
Poland,2001,8,kg per capita
Poland,2002,6,kg per capita
Poland,2003,3,kg per capita
Poland,2004,6,kg per capita
Poland,2005,8,kg per capita
Poland,2006,9,kg per capita
Poland,2007,10,kg per capita
Poland,2008,10,kg per capita
Poland,2009,4,kg per capita
Poland,2010,5,kg per capita
Poland,2011,6,kg per capita
Poland,2012,5,kg per capita
Poland,2013,6,kg per capita
Poland,2014,15,kg per capita
Poland,2015,17,kg per capita
Poland,2016,21,kg per capita
Poland,2017,21,kg per capita
Poland,2018,22,kg per capita
Poland,2019,30,kg per capita
Portugal,2000,33,kg per capita
Portugal,2001,36,kg per capita
Portugal,2002,13,kg per capita
Portugal,2003,27,kg per capita
Portugal,2004,29,kg per capita
Portugal,2005,30,kg per capita
Portugal,2006,29,kg per capita
Portugal,2007,30,kg per capita
Portugal,2008,36,kg per capita
Portugal,2009,40,kg per capita
Portugal,2010,38,kg per capita
Portugal,2011,42,kg per capita
Portugal,2012,66,kg per capita
Portugal,2013,57,kg per capita
Portugal,2014,64,kg per capita
Portugal,2015,72,kg per capita
Portugal,2016,79,kg per capita
Portugal,2017,83,kg per capita
Portugal,2018,86,kg per capita
Portugal,2019,86,kg per capita
Romania,2000,0,kg per capita
Romania,2001,0,kg per capita
Romania,2002,0,kg per capita
Romania,2003,0,kg per capita
Romania,2004,0,kg per capita
Romania,2005,0,kg per capita
Romania,2006,0,kg per capita
Romania,2007,0,kg per capita
Romania,2008,0,kg per capita
Romania,2009,0,kg per capita
Romania,2010,32,kg per capita
Romania,2011,22,kg per capita
Romania,2012,29,kg per capita
Romania,2013,23,kg per capita
Romania,2014,20,kg per capita
Romania,2015,18,kg per capita
Romania,2016,18,kg per capita
Romania,2017,18,kg per capita
Romania,2018,9,kg per capita
Romania,2019,12,kg per capita
Slovenia,2000,7,kg per capita
Slovenia,2001,6,kg per capita
Slovenia,2002,6,kg per capita
Slovenia,2003,7,kg per capita
Slovenia,2004,8,kg per capita
Slovenia,2005,8,kg per capita
Slovenia,2006,7,kg per capita
Slovenia,2007,7,kg per capita
Slovenia,2008,8,kg per capita
Slovenia,2009,10,kg per capita
Slovenia,2010,11,kg per capita
Slovenia,2011,22,kg per capita
Slovenia,2012,21,kg per capita
Slovenia,2013,28,kg per capita
Slovenia,2014,30,kg per capita
Slovenia,2015,34,kg per capita
Slovenia,2016,69,kg per capita
Slovenia,2017,73,kg per capita
Slovenia,2018,79,kg per capita
Slovenia,2019,84,kg per capita
Slovakia,2000,7,kg per capita
Slovakia,2001,6,kg per capita
Slovakia,2002,6,kg per capita
Slovakia,2003,7,kg per capita
Slovakia,2004,8,kg per capita
Slovakia,2005,3,kg per capita
Slovakia,2006,9,kg per capita
Slovakia,2007,12,kg per capita
Slovakia,2008,12,kg per capita
Slovakia,2009,12,kg per capita
Slovakia,2010,11,kg per capita
Slovakia,2011,13,kg per capita
Slovakia,2012,15,kg per capita
Slovakia,2013,13,kg per capita
Slovakia,2014,17,kg per capita
Slovakia,2015,24,kg per capita
Slovakia,2016,26,kg per capita
Slovakia,2017,33,kg per capita
Slovakia,2018,39,kg per capita
Slovakia,2019,49,kg per capita
Finland,2000,38,kg per capita
Finland,2001,35,kg per capita
Finland,2002,35,kg per capita
Finland,2003,35,kg per capita
Finland,2004,36,kg per capita
Finland,2005,36,kg per capita
Finland,2006,37,kg per capita
Finland,2007,49,kg per capita
Finland,2008,44,kg per capita
Finland,2009,57,kg per capita
Finland,2010,62,kg per capita
Finland,2011,66,kg per capita
Finland,2012,60,kg per capita
Finland,2013,67,kg per capita
Finland,2014,70,kg per capita
Finland,2015,62,kg per capita
Finland,2016,65,kg per capita
Finland,2017,67,kg per capita
Finland,2018,72,kg per capita
Finland,2019,80,kg per capita
Sweden,2000,41,kg per capita
Sweden,2001,44,kg per capita
Sweden,2002,40,kg per capita
Sweden,2003,45,kg per capita
Sweden,2004,48,kg per capita
Sweden,2005,50,kg per capita
Sweden,2006,52,kg per capita
Sweden,2007,54,kg per capita
Sweden,2008,57,kg per capita
Sweden,2009,60,kg per capita
Sweden,2010,60,kg per capita
Sweden,2011,64,kg per capita
Sweden,2012,65,kg per capita
Sweden,2013,69,kg per capita
Sweden,2014,72,kg per capita
Sweden,2015,70,kg per capita
Sweden,2016,72,kg per capita
Sweden,2017,70,kg per capita
Sweden,2018,69,kg per capita
Sweden,2019,64,kg per capita
Iceland,2000,11,kg per capita
Iceland,2001,11,kg per capita
