Year,Country,Country (Code),Attribute,Attribute (Code),Sector (NACE rev. 2),Sector (NACE rev. 2) (Code),Unit,Value
2017,Estonia,EE,Location Quotient,LQ_EU,Bio-based electricity,bD3511,Ratio,2.287627998273769
2017,Estonia,EE,Location Quotient,LQ_EU,Bio-based pharmaceuticals,bC21,Ratio,0.1891590097743213
2017,Estonia,EE,Location Quotient,LQ_EU,Bio-based textile,bC13,Ratio,1.7468098995771826
2017,Estonia,EE,Location Quotient,LQ_EU,Bio-based textiles,bTEXT,Ratio,1.4172475364328536
2017,Estonia,EE,Location Quotient,LQ_EU,Bio-based wearing apparel,bC14,Ratio,1.622307451650399
2017,Estonia,EE,Location Quotient,LQ_EU,Biodiesel,Biod,Ratio,0
2017,Estonia,EE,Location Quotient,LQ_EU,Bioeconomy,bTOTC,Ratio,1.111601886857667
2017,Estonia,EE,Location Quotient,LQ_EU,Bioethanol,Bioeth,Ratio,0.147126636650151
2017,Estonia,EE,Location Quotient,LQ_EU,Fishing and Aquaculture,A03,Ratio,1.3192067325362535
2017,Estonia,EE,Location Quotient,LQ_EU,Food,C10,Ratio,1.0090752695548337
2017,Estonia,EE,Location Quotient,LQ_EU,"Food, beverage and tobacco",C10-12,Ratio,1.0030544152953147
2017,Estonia,EE,Location Quotient,LQ_EU,Forestry,A02,Ratio,3.1797897052597226
2017,Estonia,EE,Location Quotient,LQ_EU,Leather,bC15,Ratio,0.7306260299562928
2017,Estonia,EE,Location Quotient,LQ_EU,Liquid biofuels,bFUEL,Ratio,0.05965124944892465
2017,Estonia,EE,Location Quotient,LQ_EU,Paper,bC17,Ratio,0.42820487236323546
2017,Estonia,EE,Location Quotient,LQ_EU,Rubber and bio-based plastics,bC22,Ratio,0.48642449252393477
2017,Estonia,EE,Location Quotient,LQ_EU,Wood products,bC16,Ratio,5.876504637893378
2017,Estonia,EE,Location Quotient,LQ_EU,Wood products and furniture,bC16-bC31,Ratio,4.847987233651981
2017,Estonia,EE,Location Quotient,LQ_EU,Wooden furniture,bC31,Ratio,3.1016761997252527
2017,Estonia,EE,Number of persons employed,V16110,Agriculture,A01,Number of people employed,16480
2017,Estonia,EE,Number of persons employed,V16110,Beverage,C11,Number of people employed,1478
2017,Estonia,EE,Number of persons employed,V16110,Bio-based chemicals (excluding biofuels),bchem,Number of people employed,54.513340385293866
2017,Estonia,EE,Number of persons employed,V16110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Number of people employed,307.5128050446973
2017,Estonia,EE,Number of persons employed,V16110,Bio-based electricity,bD3511,Number of people employed,173.67993812696398
2017,Estonia,EE,Number of persons employed,V16110,Bio-based pharmaceuticals,bC21,Number of people employed,165.71543197211074
2017,Estonia,EE,Number of persons employed,V16110,Bio-based textile,bC13,Number of people employed,1147.1374949027513
2017,Estonia,EE,Number of persons employed,V16110,Bio-based textiles,bTEXT,Number of people employed,3306.2653207540297
2017,Estonia,EE,Number of persons employed,V16110,Bio-based wearing apparel,bC14,Number of people employed,1700.159416336795
2017,Estonia,EE,Number of persons employed,V16110,Biodiesel,Biod,Number of people employed,0
2017,Estonia,EE,Number of persons employed,V16110,Bioeconomy,bTOTC,Number of people employed,65509.48244953956
2017,Estonia,EE,Number of persons employed,V16110,Bioethanol,Bioeth,Number of people employed,4.118374183085669
2017,Estonia,EE,Number of persons employed,V16110,Fishing and Aquaculture,A03,Number of people employed,740
2017,Estonia,EE,Number of persons employed,V16110,Food,C10,Number of people employed,13377
2017,Estonia,EE,Number of persons employed,V16110,"Food, beverage and tobacco",C10-12,Number of people employed,14855
2017,Estonia,EE,Number of persons employed,V16110,Forestry,A02,Number of people employed,5540
2017,Estonia,EE,Number of persons employed,V16110,Leather,bC15,Number of people employed,458.9684095144835
2017,Estonia,EE,Number of persons employed,V16110,Liquid biofuels,bFUEL,Number of people employed,4.118374183085669
2017,Estonia,EE,Number of persons employed,V16110,Paper,bC17,Number of people employed,851.25
2017,Estonia,EE,Number of persons employed,V16110,Rubber and bio-based plastics,bC22,Number of people employed,87.28403268729271
2017,Estonia,EE,Number of persons employed,V16110,Total sectors,TOT_NACER2,Number of people employed,658600
2017,Estonia,EE,Number of persons employed,V16110,Wood products,bC16,Number of people employed,17737.686154009756
2017,Estonia,EE,Number of persons employed,V16110,Wood products and furniture,bC16-bC31,Number of people employed,23251.656011430787
2017,Estonia,EE,Number of persons employed,V16110,Wooden furniture,bC31,Number of people employed,5513.9698574210315
2017,Estonia,EE,Turnover,V12110,Agriculture,A01,Million euros,890.1
2017,Estonia,EE,Turnover,V12110,Beverage,C11,Million euros,246
2017,Estonia,EE,Turnover,V12110,Bio-based chemicals (excluding biofuels),bchem,Million euros,6.392635876803405
2017,Estonia,EE,Turnover,V12110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,32.21714180103825
2017,Estonia,EE,Turnover,V12110,Bio-based electricity,bD3511,Million euros,68.80521138101047
2017,Estonia,EE,Turnover,V12110,Bio-based pharmaceuticals,bC21,Million euros,17.00510101341718
2017,Estonia,EE,Turnover,V12110,Bio-based textile,bC13,Million euros,98.75979574439052
2017,Estonia,EE,Turnover,V12110,Bio-based textiles,bTEXT,Million euros,168.09221749478178
2017,Estonia,EE,Turnover,V12110,Bio-based wearing apparel,bC14,Million euros,48.77209517112547
2017,Estonia,EE,Turnover,V12110,Biodiesel,Biod,Million euros,0
2017,Estonia,EE,Turnover,V12110,Bioeconomy,bTOTC,Million euros,6569.079994634884
2017,Estonia,EE,Turnover,V12110,Bioethanol,Bioeth,Million euros,2.1453230221694626
2017,Estonia,EE,Turnover,V12110,Fishing and Aquaculture,A03,Million euros,74.4
2017,Estonia,EE,Turnover,V12110,Food,C10,Million euros,1676.1
2017,Estonia,EE,Turnover,V12110,"Food, beverage and tobacco",C10-12,Million euros,1922.1
2017,Estonia,EE,Turnover,V12110,Forestry,A02,Million euros,738.4
2017,Estonia,EE,Turnover,V12110,Leather,bC15,Million euros,20.56032657926579
2017,Estonia,EE,Turnover,V12110,Liquid biofuels,bFUEL,Million euros,2.1453230221694626
2017,Estonia,EE,Turnover,V12110,Paper,bC17,Million euros,111.2625
2017,Estonia,EE,Turnover,V12110,Rubber and bio-based plastics,bC22,Million euros,8.819404910817667
2017,Estonia,EE,Turnover,V12110,Wood products,bC16,Million euros,2174.4140874091704
2017,Estonia,EE,Turnover,V12110,Wood products and furniture,bC16-bC31,Million euros,2561.557600935884
2017,Estonia,EE,Turnover,V12110,Wooden furniture,bC31,Million euros,387.14351352671355
2017,Estonia,EE,Value added at factor cost,V12150,Agriculture,A01,Million euros,281.9
2017,Estonia,EE,Value added at factor cost,V12150,Beverage,C11,Million euros,62.6
2017,Estonia,EE,Value added at factor cost,V12150,Bio-based chemicals (excluding biofuels),bchem,Million euros,1.6301766219134979
2017,Estonia,EE,Value added at factor cost,V12150,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Million euros,9.305354490892597
2017,Estonia,EE,Value added at factor cost,V12150,Bio-based electricity,bD3511,Million euros,16.669096744377903
2017,Estonia,EE,Value added at factor cost,V12150,Bio-based pharmaceuticals,bC21,Million euros,5.8289439734376165
2017,Estonia,EE,Value added at factor cost,V12150,Bio-based textile,bC13,Million euros,25.298611381230938
2017,Estonia,EE,Value added at factor cost,V12150,Bio-based textiles,bTEXT,Million euros,53.33321878185113
2017,Estonia,EE,Value added at factor cost,V12150,Bio-based wearing apparel,bC14,Million euros,21.264804526183685
2017,Estonia,EE,Value added at factor cost,V12150,Biodiesel,Biod,Million euros,0
2017,Estonia,EE,Value added at factor cost,V12150,Bioeconomy,bTOTC,Million euros,1671.6530371184617
